titulo,autor,origen
urología y nefrología,"luís llanes gonzález, vicente paraíso cuevas",bidi
guía farmacológica en psiquiatría,santiago lópez galán,bidi
manual y atlas fotográfico de anatomía del aparato locomotor,"manuel llusá pérez, álex merí vived, domingo ruano gil",bidi
anatomía quirúrgica del plexo braquial y nervios periféricos de la extremidad superior,"manuel llusá pérez, santos palazzi coll, antonio valer tito",bidi
ginecología y obstetricia,"josé lombardía prieto, marisa fernández péerez",bidi
fisiología del entrenamiento aeróbico,"josé lópez chicharro, davinia vicente campos, jorge cancino",bidi
manual de psiquiatría general,antonio lobo,bidi
biología celular y molecular,harvey lodish,bidi
periodontología clínica e implantología odontológica tomo 1,"jan lindhe, niklaus p. lang",bidi
periodontología clínica e implantología odontológica tomo 2,"jan lindhe, niklaus p. lang",bidi
velazquez farmacología básica y clínica,fernando cuetos vega,bidi
el aprendizaje de la farmacología a través de ejercicios,gil alfonso magos guerrero,bidi
fisioterapia en pediatría,maría lourdes macias merlo / joaquín fagoaga mata,bidi
interacciones de los psicofármacos,santiago lópez galán,bidi
precauciones especiales de los psicofármacos,santiago lópez galán,bidi
fisiología del ejercicio,josé lópez chicharro / almudena fernández vaquero,bidi
método pold,juan vicente lópez díaz,bidi
manual de radiología mamaria,jose antonio lópez ruiz,bidi
diccionario de psicología y psiquiatría,santiago lópez galán,bidi
materiales dentales,ricardo luis macchi,bidi
introducción a la estadística en ciencias de la salud,ricardo luis macchi,bidi
crecimiento y maduración física,mercedez lópez blanco,bidi
inmunonutrición,ascensión marcos,bidi
microbiología esencial,"ana martín gonzález,victoria béjar luque,juan carlos gutiérrez fernández,montserrat llagostera casas,emilia quesada arroquia",bidi
manual de optometría,raúl martín herranz,bidi
abordar el trastorno por déficit de atención e hiperactividad en la práctica clínica,maría jesús mardomingo saez,bidi
rehabilitación cardiovascular,jose maría maroto montero / carmen de pablo zarzosa,bidi
podología,alfonso martínez nova / jose maría juárez jiménez / antonio córdoba,bidi
competencias en las prácticas clínicas en ciencias de la salud,maría josé terrón lópez,bidi
infecciones hospitalarias,gustavo melagón londoño,bidi
urgencias odontológicas,gustavo melagón londoño,bidi
auditoria en salud,gustavo melagón londoño,bidi
gerencia hospitalaria,gustavo malagón londoño,bidi
"salud pública conceptos, aplicaciones y desafíos",gustavo malagón londoño,bidi
fisiopatología,kathryn l. mccance,bidi
la ciencia y la clínica de la fibromialgia,manuel martínez-lavín garcía,bidi
fisioterapia invasiva del síndrome de dolor miofascial,orlando mayoral del moral,bidi
centros de atención diurna para personas mayores,teresa martínez rodríguez,bidi
casos clínicos de ginecología y obstetricia,roberto matorras weinig,bidi
fundamentos de nutrición y dietética,alfredo martínez hernández,bidi
asistencia inicial al traumatismo pediátrico,roberto méndez gallart,bidi
nutrición saludable frente a la obesidad,alfredo martínez hernández,bidi
casos clínicos de reproducción asistida e infertilidad,josé remohí giménez,bidi
"instrumentación quirúrgica en cirugía laparoscópica, percutánea y endoscópica",esteban martínez,bidi
el niño en estado crítico,yomara martínez parada,bidi
anestesia bucal 2ed,adel alfonso martínez martínez,bidi
células madre,luis t. mercé (†),bidi
guía práctica para la elaboración de informes logopédicos,nieves mendizábal de la cruz,bidi
"módulo i organización sanitaria, calidad y gestión de muestras biológicas",francisco javier mérida de la torre,bidi
módulo ii técnicas generales de laboratorio,"francisco javier mérida de la torre, elvira eva moreno campoy",bidi
módulo iii biología molecular y citogenética,"francisco javier mérida de la torre, elvira eva moreno campoy",bidi
módulo iv fisiopatología general,"francisco javier mérida de la torre, elvira eva moreno campoy",bidi
módulo v análisis bioquímico,"francisco javier mérida de la torre, elvira eva moreno campoy",bidi
módulo vi técnicas de inmunodiagnóstico,"francisco javier mérida de la torre, elvira eva moreno campoy",bidi
módulo vii microbiología clínica,"francisco javier mérida de la torre, elvira eva moreno campoy",bidi
módulo viii técnicas de análisis hematológico,"francisco javier mérida de la torre,elvira eva moreno campoy",bidi
meneghello pediatría,enrique paris mancilla / ignacio sánchez / daniel beltramino / alfonso,bidi
el manual merck,robert s. porter,bidi
manual de citología de sangre periférica y líquidos biológico,anna merino,bidi
fisiología médica,cristóbal mezquita pla,bidi
farmacología en nutrición,concepció mestres millares; marius durán hortola,bidi
manual para técnico superior  de laboratorio clínico y biomédico,francisco javier merida de la torre y elvira eva moreno campoy,bidi
enfermedad de parkinson y trastornos relacionados,federico e. micheli,bidi
toxina botulínica,dirk dressler,bidi
cuidar y acompañar a la persona con enfermedad de parkinson,cristina pecci / leticia lópez / federico e. micheli,bidi
convivir con el síndrome de las piernas inquietas,federico e. micheli,bidi
movimientos anormales,federico e. micheli,bidi
vivir con distonía,"federico e. micheli, maría clara scorticati, maría graciela cersósimo",bidi
neurología,"federico e. micheli,manuel m. fernández pardal",bidi
neurología para psiquiatras,federico e. micheli,bidi
cirugía para el grado de medicina,josé ma. miguelena bobadilla,bidi
la marcha humana,maría carratalá tejada,bidi
imagen diagnóstica en pediatría,alejandro montoya filardi,bidi
cardin manual didáctico para la lectura de electrocardiogramas,francisco javier molano casimiro,bidi
suicidio,álvaro moleón ruiz,bidi
cuidar y acompañar a la persona con demencia,josé carlos millan calenti,bidi
gerontologia y geriatria,josé carlos millan calenti,bidi
principios de educación médica,jesús millán núñez-cortés,bidi
abordajes en cirugía ortopédica,mark d. miller,bidi
vivir con tics,"federico e. micheli, emilio fernández álvarez, ángeles schteinschnaider",bidi
neurología en el anciano,federico e. micheli / manuel m. fernández pardal,bidi
cáncer de próstata,luis montes de oca,bidi
banco de óvulos,javier nadal pereña,bidi
dermatología en atención primaria,alfons moret serralta,bidi
fisiología del deporte y el ejercicio,ricardo mora rodríguez,bidi
ecocardiografía práctica,josé luis moya mur,bidi
enfermería en reproducción asistida,manuel muñoz cantero,bidi
resonancia magnética cardíaca,josé luis moya mur,bidi
de guardia en neonatología,"manuel moro serrano, máximo vento torres",bidi
guía rápida de actuación en urgencias,manuel s. moya mir,bidi
normas de actuación en urgencias,manuel s. moya mir,bidi
trastornos de la conducta alimentaria y obesidad,gonzalo morandé lavin,bidi
manual de palpación ósea y muscular,joseph e. muscolino,bidi
urgencias en el paciente hospitalizado,manuel s. moya mir,bidi
aprendizaje centrado en el paciente,silvia lizett olivares olivares,bidi
urgencias domiciliarias guía rápida de actuación,juan navarro campoamor,bidi
urgencias,juan navarro campoamor,bidi
medicina legal y toxicología,ángel nieto sánchez,bidi
atlas de anatomía humana,mark nielsen,bidi
reconstrucción maxilomandibular compleja,"luis naval gías, raúl gonzález-garcía",bidi
manual de consulta en valoración de la capacidad,"mercedes navío acosta, tirso ventura faci",bidi
odontología restauradora,ewerton nocchi conceição,bidi
obstetricia,juan carlos nassif,bidi
microbiología estomatológica,negroni,bidi
guías prácticas para los laboratorios de bacteriología clínica,margaret ordóñez smith de danies,bidi
dificultades en la crianza,marco antonio ortega barreto,bidi
guías de práctica clínica cardiovascular,"maría carolina ortega vargas,monserrat l. puntunet bates,maría guadalupe suárez vázquez,claudia leija hernández,graciela montesinos jiménez,gloria cruz ayala,martha maría quintero barrios,norma elia gonzález flores",bidi
manual de evaluación de la calidad del servicio de enfermería,"ortega vargas, leija, puntunet",bidi
nutriguía,rosa maría ortega anta,bidi
oncología digestiva,mauro javier oruezábal moreno,bidi
banco de óvulos,"pablo padilla iserte,ana santaballa beltrán,santiago domingo del pozo",bidi
espondilitis anquilosante y artritis psoriásica,natalia palmou fontana,bidi
ecografía en obstetricia,irene pelayo delgado,bidi
ecografía en ginecología,irene pelayo delgado,bidi
crohn y colitis ulcerosa,jose maría pajares,bidi
obstetricia y ginecología,"antonio pellicer martínez,juan josé hidalgo mora,alfredo perales marín,césar díaz garcía",bidi
obstetricia y ginecología,antonio pellicer martínez,bidi
"gases sanguíneos, fisiología de la respiración e insuficiencia respiratoria aguda",josé f. patiño restrepo,bidi
cirugía de urgencia,"santiago g. perera,hugo a. garcía",bidi
atención integral de la infertilidad,efraín pérez peña,bidi
medicina transfusional,antonio pérez ferrer,bidi
pediatría en atención primaria de la salud,isabel pérez pérez y otros,bidi
vacuna de rotavirus,irene pérez schael,bidi
evaluación neuropediátrica funcional,"mónica yamile pinzón bernal,luisa matilde salamanca duque",bidi
terapia ocupacional en la infancia,begoña polonio lópez / mª cruz castellanos ortega / inés viana moldes,bidi
conceptos fundamentales de terapia ocupacional,begoña polonio lópez / pilar durante molina / blanca noya arnaiz,bidi
terapia ocupacional aplicada al daño cerebral adquirido,begoña polonio lópez / dulce mª romero ayuso,bidi
atlas de puntos clave musculares en la práctica clínica,eulogio pleguezuelos cobo,bidi
genética un enfoque conceptual,benjamin a. pierce,bidi
terapia ocupacional en disfunciones físicas,begoña polonio lópez,bidi
ecocardiografía,"daniel josé piñeiro,miguel h. bustamante labarta,eduardo guevara,ricardo a. migliore,jorge m. roisinblit",bidi
plata rueda el pediatra eficiente,francisco javier leal quevedo,bidi
plata rueda preguntas de madres y padres,francisco javier leal quevedo,bidi
histología básica,santa ponce bravo,bidi
práctica de la otorrinolaringología y cirugía de cabeza y cuello,"héctor manuel prado calleros, josé r. arrieta gómez, alejandro prado abarca",bidi
mamografía con contraste,"mª del carmen prieto falcón, mª carmen jurado gómez, cristina gómez de las heras, fausto rubio rubio",bidi
microbiología y parasitología médicas,guillem prats,bidi
neuroanatomía,luis puelles lópez y otros,bidi
genética médica,"dorian j. pritchard,bruce r. korf",bidi
neurociencia,dale purves,bidi
anatomía clínica,eduardo pró,bidi
el niño sano,"álvaro posada díaz, juan fernando gómez ramírez, humberto ramírez gómez",bidi
red book enfermedades infecciosas en pediatría,aap american academy of pediatrics,bidi
pie y tobillo,carlos francisco quesada,bidi
rehabilitación del suelo pélvico femenino,"inés ramírez garcía, laia blanco ratto, stephanie kauffmann",bidi
inmunopatología molecular,gabriel a. rabinovich,bidi
neurociencia cognitiva,diego redolar ripoll,bidi
infertilidad y reproducción asistida,josé remohí giménez,bidi
psicoterapia en el trastorno bipolar,"maría reinares gagneten, anabel martínez-aran, eduardo vieta pascual",bidi
lactancia humana,"horacio reyes vázquez, aurora martínez gonzález",bidi
manual práctico de esterilidad y reproducción humana,"josé remohí giménez, josé bellver pradas, marcos ferrando serrano, antonio requena miranda, antonio pellicer martínez",bidi
dolor neuropático,antoni rey pérez,bidi
la medicina en la historia,"martha eugenia rodríguez pérez, ruy echavarría rodríguez",bidi
el banco de sangre y la medicina transfusional,héctor rodríguez moyado,bidi
atlas de hematología clínica,bernadette f. rodak y jacqueline h. carr,bidi
manual de urgencias,miguel rivas jiménez,bidi
convivir con la psoriasis,miquel ribera pibernat,bidi
electroterapia en fisioterapia,josé maría rodríguez martín,bidi
nutrición y riñón,"miguel carlos riella, cristina martins",bidi
nutrición clínica y dietoterapia,liliana p. rodota y maría eugenia castro,bidi
inmunología,oscar rojas-espinosa,bidi
microbiología y parasitología humana,raúl romero cabello,bidi
